5	10	4	0.5	0.561048179	0.440607624	0.81489992
3	22	0.5	0.5	0.205436393	0.787609486	0.246175047
14	17	2.5	5	0.076545133	0.700799321	0.210619201
2	21	6.5	3	0.131548303	0.671410981	0.083262088
4	15	2	6.5	0.992288671	0.973616372	0.406166121
1	15	4	0.5	0.024395646	0.045968425	0.295004914
9	21	0.5	0.5	0.225833511	0.662340382	0.26582717
11	21	2.5	3.5	0.787725659	0.341010925	0.880676685
9	27	4	1	0.355800356	0.194244778	0.275680918
6	12	6	1.5	0.914199193	0.750082596	0.844777414
8	6	2.5	4.5	0.085565726	0.524357102	0.122923416
2	25	5.5	2	0.320858298	0.135189678	0.646029585
3	24	3	1.5	0.043666095	0.213415965	0.143227268
7	21	2.5	4	0.563225967	0.073600387	0.240515319
14	16	1.5	4.5	0.070059119	0.481274546	0.01609752
7	7	0.5	2.5	0.989369237	0.115865994	0.841478289
7	23	5	2	0.029663978	0.830349577	0.47496416
9	27	1	1	0.743414665	0.829827929	0.58938104
1	25	8	1.5	0.608515599	0.707172326	0.713279177
2	12	5.5	1	0.592900593	0.52299629	0.339124273
14	22	3.5	1	0.888132121	0.414891161	0.166814336
8	23	4	1	0.735807564	0.894693081	0.816278634
3	20	7	2	0.343682569	0.382170422	0.837069184
15	17	1	2	0.060305625	0.501596174	0.700528819
15	13	1.5	0.5	0.780454981	0.241679165	0.30847824
18	11	1	3	0.322659906	0.490723094	0.003029014
14	1	2.5	6	0.587062245	0.32486222	0.917456551
18	24	0.5	1.5	0.736238189	0.215080589	0.910345807
3	1	8	6	0.959434786	0.759132267	0.726410418
7	24	7	1.5	0.277144466	0.357589011	0.589177277
17	3	2	12.5	0.445747286	0.411643609	0.208915786
13	1	3	10	0.166863724	0.683692594	0.228378361
20	22	0.5	2.5	0.917286164	0.203776849	0.988219779
15	24	0.5	1.5	0.823773882	0.404231298	0.192980298
3	19	4	2.5	0.630673584	0.486615568	0.443763599
14	21	3	1.5	0.709264785	0.394926793	0.490987438
1	21	1.5	3.5	0.126226287	0.975093955	0.077465797
11	19	4.5	1	0.213004155	0.669828961	0.104759594
17	23	0.5	1.5	0.26417073	0.303521349	0.229511249
