1.76767670e-002, 2.02020202e-002, 2.27272734e-002,
       2.02020202e-002, 3.78787890e-002, 2.14646459e-002,
       2.14646459e-002, 1.64141413e-002, 4.67171706e-002,
       1.01010101e-002, 2.39898991e-002, 8.45959559e-002,
       2.02020202e-002, 1.51515156e-002, 2.27272734e-002,
       1.38888890e-002, 1.01010101e-002, 2.27272734e-002,
       2.27272734e-002, 1.38888890e-002, 1.01010101e-002,
       1.38888890e-002, 2.02020202e-002, 3.15656550e-002,
       3.53535339e-002, 4.67171706e-002, 1.17424242e-001,
       1.09848484e-001, 2.52525248e-002, 1.38888890e-002,
       6.69191927e-002, 2.39898991e-002
